Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.5003,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
1.5,4.5,Geothlypis trichas,Common Yellowthroat,0.5294,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
3.0,6.0,Geothlypis trichas,Common Yellowthroat,0.1557,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
9.0,12.0,Empidonax alnorum,Alder Flycatcher,0.1617,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
12.0,15.0,Melospiza melodia,Song Sparrow,0.1213,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
13.5,16.5,Cardinalis cardinalis,Northern Cardinal,0.1402,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
15.0,18.0,Agelaius phoeniceus,Red-winged Blackbird,0.1796,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
16.5,19.5,Geothlypis trichas,Common Yellowthroat,0.6412,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
18.0,21.0,Geothlypis trichas,Common Yellowthroat,0.3498,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
19.5,22.5,Geothlypis trichas,Common Yellowthroat,0.6679,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
19.5,22.5,Setophaga pensylvanica,Chestnut-sided Warbler,0.2255,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
19.5,22.5,Empidonax alnorum,Alder Flycatcher,0.1224,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
21.0,24.0,Geothlypis trichas,Common Yellowthroat,0.6155,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
21.0,24.0,Setophaga pensylvanica,Chestnut-sided Warbler,0.1340,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
21.0,24.0,Setophaga petechia,Yellow Warbler,0.1192,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
21.0,24.0,Dumetella carolinensis,Gray Catbird,0.1113,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
22.5,25.5,Geothlypis trichas,Common Yellowthroat,0.5315,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
22.5,25.5,Setophaga pensylvanica,Chestnut-sided Warbler,0.1264,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
22.5,25.5,Seiurus aurocapilla,Ovenbird,0.1047,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
24.0,27.0,Geothlypis trichas,Common Yellowthroat,0.1724,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
24.0,27.0,Seiurus aurocapilla,Ovenbird,0.1338,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
25.5,28.5,Geothlypis trichas,Common Yellowthroat,0.2236,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
25.5,28.5,Seiurus aurocapilla,Ovenbird,0.1158,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
25.5,28.5,Dumetella carolinensis,Gray Catbird,0.1045,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
27.0,30.0,Geothlypis trichas,Common Yellowthroat,0.3148,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
27.0,30.0,Empidonax alnorum,Alder Flycatcher,0.2111,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
27.0,30.0,Dumetella carolinensis,Gray Catbird,0.1268,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
28.5,31.5,Geothlypis trichas,Common Yellowthroat,0.7702,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
28.5,31.5,Setophaga pensylvanica,Chestnut-sided Warbler,0.1130,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
30.0,33.0,Geothlypis trichas,Common Yellowthroat,0.4832,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
31.5,34.5,Geothlypis trichas,Common Yellowthroat,0.2804,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
33.0,36.0,Geothlypis trichas,Common Yellowthroat,0.1212,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
34.5,37.5,Geothlypis trichas,Common Yellowthroat,0.1265,/Users/lillianwang/Downloads/Original Wave Files/20250611-083207_SSW04.WAV
